task_index,task_name,n_episodes,mean_len,median_len,p90_len,min_len,max_len,eval_timeout_frames,rel_eval_cost
3,cleaning_up_plates_and_food,200,13696.2,13705.0,16782.3,7945,18758,20544,1.299
9,putting_up_Christmas_decorations_inside,200,13718.8,13441.0,16250.2,9718,19885,20578,1.301
2,putting_away_Halloween_decorations,200,13788.1,13924.5,16694.4,148,18894,20682,1.307
41,cook_cabbage,200,14144.8,14477.5,16860.4,7636,19654,21217,1.341
14,carrying_in_groceries,200,14274.8,13927.5,16692.8,11179,20170,21412,1.354
98,laying_tile_floors,200,14351.0,14244.0,16431.6,10914,18998,21526,1.361
94,dispose_of_batteries,200,14428.4,13649.5,18831.7,7669,25919,21643,1.368
73,organizing_school_stuff,200,14591.9,13352.5,19758.8,9967,27844,21888,1.384
16,moving_boxes_to_storage,200,14596.2,14543.0,16209.4,9376,19700,21894,1.384
43,slicing_vegetables,200,14844.9,14740.5,17419.3,7358,21338,22267,1.408
71,clean_your_rusty_garden_tools,200,15157.9,14539.5,20332.9,8972,27110,22737,1.437
95,cook_brussels_sprouts,200,15661.8,15157.5,20577.3,10214,24408,23493,1.485
28,getting_organized_for_work,200,15671.0,15018.5,19985.5,10078,28936,23506,1.486
27,sorting_household_items,200,15807.8,15469.5,18599.3,11256,31112,23712,1.499
58,stacking_wood,200,15939.3,15757.5,19796.6,8533,28090,23909,1.511
64,setting_the_table,200,17808.5,18461.5,20230.5,11859,23204,26713,1.689
7,picking_up_toys,200,18890.6,18781.0,24102.6,7712,32376,28336,1.791
21,collecting_childrens_toys,200,19186.3,18950.0,23706.1,12726,36383,28779,1.819
49,make_pizza,200,19186.9,21743.5,24807.3,10867,27860,28780,1.819
13,loading_the_car,200,19226.4,19886.5,21508.4,9296,22761,28840,1.823
24,storing_food,200,19869.1,18947.0,23583.0,15982,26330,29804,1.884
29,clean_up_your_desk,200,21417.9,21406.5,26251.4,13250,31123,32127,2.031
48,canning_food,200,22975.5,22349.0,30250.3,15237,38589,34463,2.179
23,boxing_books_up_for_storage,200,24227.5,24403.0,29144.1,13295,32319,36341,2.297
26,assembling_gift_baskets,200,26060.1,24226.5,32849.2,18862,45761,39090,2.471
