task,task_name,D,n_magnitudes,unit_flip_observed,all_magnitudes_multiple_of_1_over_D,magnitudes,N_toplevel_json,episodes,n_valid,valid_rate,eps_needing_repair,repair_rate,rewards_dropped,term_last_all,any_truncated,nz_frames,multiflip_frames,multiflip_rate,max_k,phi0_mean,phi0_median,phi0_min,phi0_max,phi0_frac_gt0,reward_instrumentation
28,getting_organized_for_work,10,3,True,True,0.1;0.2;0.3,10,50,43,0.86,45,0.9,106,True,False,2314,62,0.0267934312878133,3,0.4139534799858581,0.3999999910593033,0.0,0.5999999940395355,0.9767441860465116,ok
29,clean_up_your_desk,11,3,True,True,0.0909091;0.181818;0.272727,8,40,29,0.725,9,0.225,10,True,False,718,14,0.0194986072423398,3,0.1253918296304242,0.0909090638160705,0.0,0.2727272510528564,0.7931034482758621,ok
30,setting_the_fire,8,3,True,True,0.125;0.25;0.375,3,42,34,0.8095238095238095,5,0.119047619047619,5,True,False,518,9,0.0173745173745173,3,0.125,0.125,0.0,0.5,0.8529411764705882,ok
31,clean_boxing_gloves,1,1,True,True,1,1,40,40,1.0,9,0.225,9,True,False,49,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
32,wash_a_baseball_cap,1,1,True,True,1,1,48,48,1.0,10,0.2083333333333333,11,True,False,59,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
33,wash_dog_toys,3,2,True,True,0.333333;0.666667,3,54,54,1.0,9,0.1666666666666666,11,True,False,119,11,0.0924369747899159,2,0.3333333134651184,0.3333333134651184,0.3333333134651184,0.3333333134651184,1.0,ok
34,hanging_pictures,1,1,True,True,1,1,94,94,1.0,72,0.7659574468085106,93,True,False,187,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
35,attach_a_camera_to_a_tripod,1,1,True,True,1,1,57,57,1.0,11,0.1929824561403508,12,True,False,69,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
36,clean_a_patio,1,1,True,True,1,1,53,53,1.0,1,0.0188679245283018,1,True,False,54,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
37,clean_a_trumpet,1,1,True,True,1,1,40,39,0.975,4,0.1,5,False,False,44,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
38,spraying_for_bugs,2,1,True,True,0.5,1,64,63,0.984375,2,0.03125,2,True,False,131,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
39,spraying_fruit_trees,2,2,True,True,0.5;1,2,200,197,0.985,8,0.04,8,True,False,411,2,0.0048661800486618,2,0.0,0.0,0.0,0.0,0.0,ok
40,make_microwave_popcorn,1,1,True,True,1,2,68,68,1.0,8,0.1176470588235294,8,True,False,76,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
41,cook_cabbage,2,2,True,True,0.5;1,4,46,46,1.0,5,0.108695652173913,5,True,False,97,4,0.0412371134020618,2,0.0,0.0,0.0,0.0,0.0,ok
42,chop_an_onion,4,1,True,True,0.25,4,70,66,0.9428571428571428,11,0.1571428571428571,13,True,False,495,0,0.0,1,0.0568181818181818,0.0,0.0,0.25,0.2272727272727272,ok
43,slicing_vegetables,9,4,True,True,0.111111;0.222222;0.333333;0.555556,7,44,37,0.8409090909090909,39,0.8863636363636364,47,True,False,478,11,0.0230125523012552,5,0.0360360348949561,0.0,0.0,0.444444440305233,0.1891891891891892,ok
44,chopping_wood,4,1,True,True,0.25,8,55,49,0.8909090909090909,5,0.0909090909090909,5,True,False,240,0,0.0,1,0.0204081632653061,0.0,0.0,0.5,0.0612244897959183,ok
45,cook_hot_dogs,1,1,True,True,1,1,55,55,1.0,0,0.0,0,True,False,55,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
46,cook_bacon,7,2,True,True,0.142857;0.857143,2,52,50,0.9615384615384616,45,0.8653846153846154,51,True,False,175,57,0.3257142857142857,6,0.0,0.0,0.0,0.0,0.0,ok
47,freeze_pies,7,2,True,True,0.142857;0.285714,4,47,47,1.0,26,0.5531914893617021,29,True,False,331,47,0.1419939577039275,2,0.2310030079902486,0.285714253783226,0.0,0.4285714030265808,0.9361702127659576,ok
48,canning_food,10,1,True,True,0.1,7,43,39,0.9069767441860463,42,0.9767441860465116,99,True,False,639,0,0.0,1,0.6384615330741956,0.5999999940395355,0.4999999925494194,0.6999999955296516,1.0,SUSPECT_incomplete
49,make_pizza,2,2,True,True,0.5;1,2,134,134,1.0,8,0.0597014925373134,8,True,False,294,8,0.0272108843537414,2,0.0,0.0,0.0,0.0,0.0,ok
50,freeze_fruit,4,2,True,True,0.25;0.5,4,56,41,0.7321428571428571,11,0.1964285714285714,11,True,False,372,2,0.0053763440860215,2,0.2439024390243902,0.25,0.0,0.5,0.7804878048780488,ok
51,cook_a_brisket,3,2,True,True,0.333333;0.666667,3,66,55,0.8333333333333334,64,0.9696969696969696,83,True,False,390,1,0.0025641025641025,2,0.0969696911898526,0.0,0.0,0.3333333134651184,0.2909090909090909,ok
52,sorting_bottles_cans_and_paper,3,1,True,True,0.333333,3,46,42,0.9130434782608696,0,0.0,0,True,False,151,0,0.0,1,0.0238095223903656,0.0,0.0,0.3333333134651184,0.0714285714285714,ok
53,tidying_living_room,4,2,True,True,0.25;0.5,4,56,22,0.3928571428571428,25,0.4464285714285714,36,True,False,542,92,0.1697416974169741,2,0.1477272727272727,0.125,0.0,0.5,0.5,ok
54,putting_away_toys,1,1,True,True,1,1,41,41,1.0,3,0.073170731707317,3,True,False,44,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
55,re_shelving_library_books,1,1,True,True,1,1,52,52,1.0,30,0.5769230769230769,34,True,False,88,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
56,make_rose_centerpieces,4,2,True,True,0.25;0.5,4,54,48,0.8888888888888888,23,0.4259259259259259,28,True,False,415,11,0.0265060240963855,2,0.09375,0.0,0.0,0.5,0.2916666666666667,ok
57,sweeping_garage,2,1,True,True,0.5,2,54,52,0.9629629629629628,3,0.0555555555555555,3,True,False,113,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
58,stacking_wood,1,1,True,True,1,1,44,44,1.0,6,0.1363636363636363,6,True,False,134,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
59,organizing_art_supplies,5,3,True,True,0.2;0.4;0.6,5,77,58,0.7532467532467533,10,0.1298701298701298,14,True,False,830,2,0.0024096385542168,3,0.0827586172983564,0.0,0.0,0.5999999940395355,0.3103448275862069,ok
60,scrubbing_bathroom_floor,1,1,True,True,1,1,77,77,1.0,6,0.0779220779220779,6,True,False,83,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
61,bringing_paper_to_recycling,3,1,True,True,0.333333,3,44,43,0.9772727272727272,34,0.7727272727272727,43,True,False,259,0,0.0,1,0.1007751877917799,0.0,0.0,0.3333333134651184,0.3023255813953488,ok
62,halve_an_egg,5,3,True,True,0.2;0.4;0.6,5,75,55,0.7333333333333333,36,0.48,44,True,False,426,119,0.2793427230046948,3,0.0690909057855606,0.0,0.0,0.3999999910593033,0.2909090909090909,ok
63,installing_smoke_detectors,1,1,True,True,1,1,96,96,1.0,18,0.1875,18,True,False,114,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
64,setting_the_table,4,2,True,True,0.25;0.5,4,40,24,0.6,11,0.275,11,True,False,248,8,0.032258064516129,2,0.1041666666666666,0.0,0.0,0.5,0.3333333333333333,ok
65,unloading_the_car,2,2,True,True,0.5;1,2,42,36,0.8571428571428571,10,0.238095238095238,14,True,False,134,9,0.0671641791044776,2,0.0,0.0,0.0,0.0,0.0,ok
66,turning_out_all_lights_before_sleep,2,1,True,True,0.5,2,48,40,0.8333333333333334,14,0.2916666666666667,16,True,False,120,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
67,boxing_food_after_dinner,5,1,True,True,0.2,5,70,42,0.6,17,0.2428571428571428,23,True,False,730,0,0.0,1,0.2380952306446574,0.199999988079071,0.0,0.5999999940395355,0.7380952380952381,ok
68,cleaning_up_branches_and_twigs,2,1,True,True,0.5,2,57,41,0.7192982456140351,49,0.8596491228070176,88,True,False,200,0,0.0,1,0.3536585365853658,0.5,0.0,0.5,0.7073170731707317,ok
69,vacuuming_floors,1,1,True,True,1,1,105,105,1.0,28,0.2666666666666666,36,True,False,141,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
70,thawing_frozen_food,7,2,True,True,0.142857;0.285714,7,57,47,0.8245614035087719,45,0.7894736842105263,52,True,False,859,6,0.0069848661233993,2,0.2036473855693289,0.1428571045398712,0.0,0.5714285522699356,0.8936170212765957,ok
71,clean_your_rusty_garden_tools,5,2,True,True,0.2;0.4,5,49,43,0.8775510204081632,40,0.8163265306122449,48,True,False,364,1,0.0027472527472527,2,0.0744186009085455,0.0,0.0,0.3999999910593033,0.3255813953488372,ok
72,cook_a_frozen_pie,2,1,True,True,0.5,2,55,47,0.8545454545454545,19,0.3454545454545454,19,True,False,1585,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
73,organizing_school_stuff,6,2,True,True,0.166667;0.333333,6,47,27,0.574468085106383,34,0.723404255319149,67,True,False,482,1,0.0020746887966804,2,0.2407407236320001,0.166666641831398,0.0,0.6666666567325592,0.8148148148148148,ok
74,carrying_out_garden_furniture,2,1,True,True,0.5,2,45,31,0.6888888888888889,32,0.7111111111111111,38,True,False,173,0,0.0,1,0.0161290322580645,0.0,0.0,0.5,0.032258064516129,ok
75,put_together_a_basic_pruning_kit,4,2,True,True,0.25;0.5,4,42,35,0.8333333333333334,38,0.9047619047619048,48,True,False,327,4,0.0122324159021406,2,0.2571428571428571,0.25,0.0,0.5,0.8285714285714286,ok
76,dispose_of_glass,1,1,True,True,1,1,49,49,1.0,21,0.4285714285714285,26,True,False,77,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
77,installing_a_modem,3,2,True,True,0.333333;0.666667,3,103,85,0.8252427184466019,13,0.1262135922330097,15,True,False,481,6,0.0124740124740124,2,0.1333333253860473,0.0,0.0,0.3333333134651184,0.4,ok
78,make_cabinet_doors,1,1,True,True,1,1,68,68,1.0,7,0.1029411764705882,8,True,False,76,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
79,polishing_shoes,5,2,True,True,0.2;0.4,5,44,37,0.8409090909090909,38,0.8636363636363636,51,True,False,583,3,0.0051457975986277,2,0.1135135079557831,0.0,0.0,0.3999999910593033,0.4864864864864865,ok
80,clean_up_broken_glass,1,1,True,True,1,1,53,53,1.0,5,0.0943396226415094,5,True,False,62,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
81,packing_meal_for_delivery,2,1,True,True,0.5,2,53,36,0.6792452830188679,16,0.3018867924528302,18,True,False,320,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
82,store_batteries,1,1,True,True,1,1,61,61,1.0,10,0.1639344262295081,12,True,False,83,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
83,store_honey,1,1,True,True,1,1,72,72,1.0,16,0.2222222222222222,18,True,False,100,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
84,tidying_bathroom,4,2,True,True,0.25;0.5,4,53,43,0.8113207547169812,30,0.5660377358490566,38,True,False,399,1,0.0025062656641604,2,0.2906976744186046,0.25,0.0,0.5,0.7674418604651163,ok
85,putting_dirty_dishes_in_sink,2,1,True,True,0.5,2,40,16,0.4,15,0.375,17,True,False,181,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
86,make_gift_bags_for_baby_showers,3,1,True,True,0.333333,3,51,23,0.4509803921568627,26,0.5098039215686274,44,True,False,263,0,0.0,1,0.1449275275935297,0.0,0.0,0.3333333134651184,0.4347826086956521,ok
87,collecting_aluminum_cans,1,1,True,True,1,1,47,47,1.0,7,0.1489361702127659,9,True,False,62,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
88,rearrange_your_room,2,1,True,True,0.5,2,53,38,0.7169811320754716,28,0.5283018867924528,36,True,False,224,0,0.0,1,0.0131578947368421,0.0,0.0,0.5,0.0263157894736842,ok
89,installing_a_fax_machine,2,1,True,True,0.5,2,62,44,0.7096774193548387,3,0.0483870967741935,3,True,False,159,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
90,composting_waste,2,1,True,True,0.5,2,65,45,0.6923076923076923,24,0.3692307692307692,34,True,False,184,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
91,store_produce,1,1,True,True,1,1,48,48,1.0,8,0.1666666666666666,9,True,False,57,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
92,installing_a_scanner,2,2,True,True,0.5;1,2,57,36,0.631578947368421,17,0.2982456140350877,17,True,False,182,1,0.0054945054945054,2,0.0,0.0,0.0,0.0,0.0,ok
93,clean_a_keyboard,1,1,True,True,1,1,62,62,1.0,5,0.0806451612903225,7,True,False,69,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
94,dispose_of_batteries,2,1,True,True,0.5,2,50,13,0.26,49,0.98,65,True,False,262,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
95,cook_brussels_sprouts,3,1,True,True,0.333333,3,44,41,0.9318181818181818,35,0.7954545454545454,50,True,False,266,0,0.0,1,0.243902424486672,0.3333333134651184,0.0,0.3333333134651184,0.7317073170731707,ok
96,cook_broccolini,3,2,True,True,0.333333;0.666667,3,52,52,1.0,18,0.3461538461538461,20,True,False,198,55,0.2777777777777778,2,0.0128205120563507,0.0,0.0,0.3333333134651184,0.0384615384615384,ok
97,setup_a_bar_for_a_cocktail_party,9,2,True,True,0.111111;0.222222,9,51,31,0.6078431372549019,24,0.4705882352941176,40,True,False,981,39,0.0397553516819571,2,0.2652329703973186,0.2222222164273262,0.0,0.6666666641831398,0.8709677419354839,ok
98,laying_tile_floors,2,2,True,True,0.5;1,2,49,32,0.6530612244897959,28,0.5714285714285714,44,True,False,908,30,0.0330396475770925,2,0.0,0.0,0.0,0.0,0.0,ok
99,sorting_books_on_shelf,6,2,True,True,0.166667;0.333333,6,62,27,0.4354838709677419,56,0.9032258064516128,157,True,False,1088,52,0.0477941176470588,2,0.3703703516059451,0.3333333134651184,0.166666641831398,0.4999999850988388,1.0,ok
