task,task_index,D,mean_episode_len,eval_timeout_frames,rel_eval_cost,valid_rate,episodes_total,episodes_measured,progress_offset_at_reset,initially_true_literals,initially_true_unknown,census_alignment,never_credited_units,lost_at_end_units,demo_completion_rate,frac_intermediate,max_step_frac,n_levels,t_first_credit,gradient_score,episodes_nonmonotonic,max_dip_units,must_flip_predicates,n_goal_literals,reward_events_observed,denominator_status,reward_instrumentation,measurement
setting_the_table,64,4,17808,26713,1.69,0.92,200,200,0.0,0,8,ambiguous,0.864,0.06,0.359,0.655,0.26,4.12,0.272,0.485,150,2.0,8,8,3.14,COLLAPSED,ok,full-200ep
collecting_childrens_toys,21,6,19186,28779,1.82,0.96,200,200,0.0,0,7,ambiguous,0.411,0.016,0.667,0.676,0.167,6.59,0.128,0.563,126,1.0,7,7,5.59,COLLAPSED,ok,full-200ep
turning_on_radio,0,1,2150,3224,0.2,1.0,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.718,0.0,1,1.0,1,1,1.0,CONSISTENT,ok,full-200ep
hanging_pictures,34,1,2387,3581,0.23,0.99,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.941,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
vacuuming_floors,69,1,2412,3618,0.23,0.995,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.918,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
installing_smoke_detectors,63,1,2569,3853,0.24,1.0,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.95,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
scrubbing_bathroom_floor,60,1,3154,4731,0.3,1.0,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.953,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
make_cabinet_doors,78,1,3442,5164,0.33,1.0,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.931,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
clean_a_keyboard,93,1,3876,5814,0.37,1.0,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.909,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
attach_a_camera_to_a_tripod,35,1,3912,5867,0.37,1.0,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.882,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
clean_a_trumpet,37,1,5307,7961,0.5,0.99,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.858,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
store_honey,83,1,6767,10150,0.64,1.0,200,200,0.0,0,1,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.94,0.0,8,1.0,1,1,1.0,CONSISTENT,ok,full-200ep
cook_bacon,46,7,7680,11519,0.73,0.985,200,200,0.1168,1,0,aligned,0.0,0.0,1.0,0.591,0.857,3.04,0.793,0.084,197,1.0,6,7,7.0,CONSISTENT,ok,full-200ep
wash_dog_toys,33,6,11223,16834,1.06,0.995,200,200,0.3333,2,0,aligned,0.0,0.0,1.0,0.0,0.333,3.0,0.948,0.0,0,0.0,4,6,6.0,CONSISTENT,ok,full-200ep
clean_a_patio,36,1,12071,18106,1.14,1.0,200,200,0.0,0,0,aligned,0.0,0.0,1.0,0.0,1.0,2.0,0.944,0.0,0,0.0,1,1,1.0,CONSISTENT,ok,full-200ep
make_pizza,49,2,19187,28780,1.82,0.995,200,200,0.0,0,1,aligned,0.0,0.0,1.0,0.0,0.5,3.0,0.971,0.0,9,1.0,2,2,2.0,CONSISTENT,ok,full-200ep
hiding_Easter_eggs,6,9,7620,11430,0.72,0.995,200,200,0.0,0,6,aligned,3.402,0.0,0.0,0.411,0.112,6.59,0.514,0.365,99,2.0,9,9,5.6,DEAD_UNITS,ok,full-200ep
putting_dishes_away_after_cleaning,11,14,10953,16430,1.04,1.0,200,200,0.0,0,10,ambiguous,12.985,0.0,0.0,0.009,0.071,2.02,0.825,0.009,34,1.0,8,10,1.02,DEAD_UNITS,PROVEN_incomplete,full-200ep
sorting_vegetables,20,13,11904,17856,1.13,1.0,200,200,0.0,0,13,aligned,8.9,0.0,0.0,0.254,0.077,5.1,0.453,0.234,30,1.0,13,13,4.1,DEAD_UNITS,SUSPECT_incomplete,full-200ep
assembling_gift_baskets,26,16,26060,39090,2.47,0.995,200,200,0.0,0,16,aligned,12.131,0.005,0.0,0.43,0.062,4.87,0.419,0.403,60,2.0,16,16,3.87,DEAD_UNITS,SUSPECT_incomplete,full-200ep
composting_waste,90,2,3639,5458,0.35,1.0,200,200,0.0,0,2,aligned,0.325,0.0,0.675,0.159,0.5,2.67,0.705,0.079,65,1.0,2,2,1.68,ENDS_SHORT,ok,full-200ep
installing_a_fax_machine,89,2,4077,6115,0.39,1.0,200,200,0.0,0,1,aligned,0.215,0.0,0.785,0.302,0.5,2.79,0.552,0.151,50,1.0,2,2,1.78,ENDS_SHORT,ok,full-200ep
installing_a_scanner,92,2,4258,6388,0.4,0.99,200,200,0.0,0,1,aligned,0.333,0.0,0.667,0.073,0.5,2.67,0.812,0.036,98,1.0,2,2,1.67,ENDS_SHORT,ok,full-200ep
sweeping_garage,57,2,4473,6710,0.42,1.0,200,200,0.0,0,0,aligned,0.02,0.0,0.98,0.081,0.507,2.96,0.865,0.04,4,1.0,2,2,1.98,ENDS_SHORT,ok,full-200ep
make_rose_centerpieces,56,4,4532,6798,0.43,0.97,200,200,0.0,0,4,aligned,0.567,0.041,0.551,0.486,0.258,4.43,0.434,0.361,137,3.0,4,4,3.43,ENDS_SHORT,ok,full-200ep
picking_up_trash,1,3,5268,7902,0.5,0.995,200,200,0.0,0,3,aligned,0.151,0.0,0.859,0.368,0.333,3.85,0.484,0.245,51,1.0,3,3,2.85,ENDS_SHORT,ok,full-200ep
organizing_art_supplies,59,5,6194,9292,0.59,0.97,200,200,0.0,0,5,aligned,0.66,0.026,0.505,0.565,0.202,5.34,0.373,0.451,140,1.0,5,5,4.34,ENDS_SHORT,ok,full-200ep
set_up_a_coffee_station_in_your_kitchen,10,6,6266,9399,0.59,0.995,200,200,0.165,1,5,aligned,1.121,0.03,0.317,0.805,0.167,5.39,0.323,0.671,189,1.0,5,6,4.88,ENDS_SHORT,ok,full-200ep
halve_an_egg,62,5,6377,9566,0.6,0.99,200,200,0.0,0,3,aligned,0.702,0.025,0.475,0.339,0.4,4.55,0.615,0.203,117,1.0,5,5,4.3,ENDS_SHORT,ok,full-200ep
chop_an_onion,42,4,6400,9600,0.61,1.0,200,200,0.0,0,2,aligned,0.26,0.0,0.76,0.207,0.25,4.74,0.73,0.156,146,1.0,4,4,3.74,ENDS_SHORT,ok,full-200ep
spraying_for_bugs,38,2,6480,9719,0.61,1.0,200,200,0.0,0,0,aligned,0.01,0.0,0.99,0.396,0.5,2.99,0.36,0.198,2,1.0,2,2,1.99,ENDS_SHORT,ok,full-200ep
boxing_food_after_dinner,67,5,6698,10047,0.64,0.985,200,200,0.0,0,6,ambiguous,1.533,0.046,0.157,0.439,0.2,4.47,0.495,0.351,197,1.0,5,6,3.47,ENDS_SHORT,ok,full-200ep
cook_a_brisket,51,3,7335,11002,0.7,1.0,200,200,0.3267,1,1,aligned,0.5,0.015,0.57,0.275,0.333,3.46,0.901,0.183,200,1.0,2,3,2.5,ENDS_SHORT,ok,full-200ep
putting_shoes_on_rack,22,10,7726,11589,0.73,0.975,200,200,0.0,0,10,aligned,1.185,0.036,0.333,0.803,0.102,9.81,0.151,0.721,167,2.0,10,10,8.82,ENDS_SHORT,ok,full-200ep
thawing_frozen_food,70,7,8230,12344,0.78,1.0,200,200,0.0,0,6,ambiguous,1.84,0.03,0.09,0.8,0.147,6.14,0.14,0.682,200,2.0,6,9,5.16,ENDS_SHORT,ok,full-200ep
preparing_lunch_box,12,6,8245,12368,0.78,1.0,200,200,0.1508,1,5,aligned,0.665,0.035,0.525,0.721,0.168,5.58,0.277,0.6,200,1.0,5,6,5.33,ENDS_SHORT,ok,full-200ep
spraying_fruit_trees,39,2,8346,12519,0.79,1.0,200,200,0.0,0,0,aligned,0.015,0.0,0.985,0.438,0.5,2.98,0.332,0.219,3,1.0,2,2,1.99,ENDS_SHORT,ok,full-200ep
cook_a_frozen_pie,72,2,8668,13002,0.82,0.89,200,200,0.0,0,1,aligned,0.011,0.0,0.989,0.46,0.5,2.99,0.518,0.23,177,1.0,2,2,1.99,ENDS_SHORT,ok,full-200ep
setting_the_fire,30,8,9118,13677,0.86,0.99,200,200,0.1155,1,4,aligned,0.364,0.0,0.737,0.558,0.137,7.71,0.422,0.481,198,3.0,7,8,7.64,ENDS_SHORT,ok,full-200ep
bringing_water,17,3,9438,14158,0.89,0.99,200,200,0.2761,1,2,aligned,0.126,0.0,0.879,0.398,0.333,3.85,0.59,0.265,198,1.0,2,3,2.87,ENDS_SHORT,ok,full-200ep
setting_mousetraps,5,6,10196,15294,0.97,0.995,200,200,0.0,0,6,aligned,1.141,0.005,0.176,0.514,0.173,5.84,0.383,0.425,146,2.0,6,6,4.86,ENDS_SHORT,ok,full-200ep
outfit_a_basic_toolbox,19,7,10638,15957,1.01,1.0,200,200,0.2664,2,5,aligned,0.265,0.0,0.79,0.811,0.144,7.0,0.47,0.694,200,2.0,5,7,6.74,ENDS_SHORT,ok,full-200ep
polishing_shoes,79,5,10738,16107,1.02,0.965,200,200,0.0,0,4,ambiguous,0.767,0.052,0.435,0.572,0.204,5.23,0.255,0.455,187,2.0,5,6,4.23,ENDS_SHORT,ok,full-200ep
tidying_bedroom,18,3,11037,16556,1.05,1.0,200,200,0.0,0,3,aligned,1.065,0.0,0.01,0.096,0.333,2.94,0.322,0.064,121,1.0,3,3,1.94,ENDS_SHORT,ok,full-200ep
carrying_out_garden_furniture,74,2,11059,16588,1.05,1.0,200,200,0.0,0,2,aligned,0.29,0.005,0.705,0.404,0.5,2.71,0.415,0.202,92,1.0,2,2,1.71,ENDS_SHORT,ok,full-200ep
bringing_paper_to_recycling,61,3,11214,16821,1.06,0.98,200,200,0.2772,1,2,aligned,0.26,0.005,0.745,0.639,0.333,3.71,0.89,0.426,194,1.0,2,3,2.74,ENDS_SHORT,ok,full-200ep
put_together_a_basic_pruning_kit,75,4,11264,16897,1.07,1.0,200,200,0.4562,2,2,aligned,0.495,0.025,0.57,0.626,0.25,3.77,0.697,0.469,200,2.0,2,4,3.5,ENDS_SHORT,ok,full-200ep
unloading_the_car,65,2,11323,16985,1.07,0.985,200,200,0.0,0,2,aligned,0.234,0.03,0.736,0.025,0.5,2.77,0.897,0.013,100,1.0,2,2,1.77,ENDS_SHORT,ok,full-200ep
can_meat,4,9,11847,17771,1.12,1.0,200,200,0.5522,5,4,aligned,1.955,0.02,0.06,0.859,0.113,5.86,0.693,0.762,200,1.0,4,9,7.04,ENDS_SHORT,ok,full-200ep
freeze_pies,47,7,12455,18683,1.18,0.995,200,200,0.1328,1,4,aligned,1.045,0.0,0.422,0.701,0.286,5.46,0.594,0.501,199,2.0,6,7,5.95,ENDS_SHORT,ok,full-200ep
tidying_living_room,53,4,12566,18849,1.19,0.78,200,200,0.0,0,4,aligned,0.833,0.256,0.34,0.473,0.346,4.13,0.375,0.309,149,3.0,4,4,3.17,ENDS_SHORT,ok,full-200ep
tidying_bathroom,84,4,13003,19505,1.23,0.99,200,200,0.0,0,4,aligned,1.182,0.005,0.227,0.617,0.25,3.82,0.306,0.463,173,1.0,4,4,2.82,ENDS_SHORT,ok,full-200ep
clearing_food_from_table_into_fridge,25,5,13068,19602,1.24,1.0,200,200,0.192,1,4,aligned,0.945,0.015,0.28,0.374,0.2,4.22,0.582,0.3,200,1.0,4,5,4.05,ENDS_SHORT,ok,full-200ep
bringing_in_wood,15,3,13536,20304,1.28,0.995,200,200,0.0,0,3,aligned,0.176,0.02,0.829,0.513,0.333,3.82,0.437,0.342,85,1.0,3,3,2.82,ENDS_SHORT,ok,full-200ep
cleaning_up_plates_and_food,3,7,13696,20544,1.3,0.995,200,200,0.0,0,8,ambiguous,1.121,0.0,0.096,0.756,0.146,6.88,0.169,0.646,199,2.0,6,8,5.88,ENDS_SHORT,ok,full-200ep
putting_up_Christmas_decorations_inside,9,9,13719,20578,1.3,0.995,200,200,0.0,0,9,aligned,1.96,0.035,0.03,0.773,0.113,8.04,0.179,0.686,189,2.0,9,9,7.04,ENDS_SHORT,ok,full-200ep
putting_away_Halloween_decorations,2,7,13788,20682,1.31,0.91,200,200,0.0,0,8,ambiguous,0.621,0.0,0.505,0.673,0.153,7.36,0.205,0.57,182,2.0,6,8,6.38,ENDS_SHORT,ok,full-200ep
carrying_in_groceries,14,4,14275,21412,1.35,0.98,200,200,0.2219,1,2,aligned,0.199,0.01,0.806,0.762,0.25,3.97,0.168,0.571,196,1.0,3,4,3.8,ENDS_SHORT,ok,full-200ep
organizing_school_stuff,73,6,14592,21888,1.38,0.985,200,200,0.0,0,6,aligned,2.051,0.127,0.112,0.73,0.168,4.95,0.118,0.607,182,1.0,6,6,3.95,ENDS_SHORT,ok,full-200ep
moving_boxes_to_storage,16,2,14596,21894,1.38,0.55,200,200,0.0,0,2,aligned,0.109,0.0,0.891,0.435,0.5,2.89,0.468,0.218,44,1.0,2,2,1.89,ENDS_SHORT,ok,full-200ep
slicing_vegetables,43,9,14845,22267,1.41,0.995,200,200,0.1016,1,0,aligned,0.744,0.03,0.633,0.322,0.112,9.19,0.711,0.286,199,3.0,8,9,8.26,ENDS_SHORT,ok,full-200ep
clean_your_rusty_garden_tools,71,5,15158,22737,1.44,0.995,200,200,0.1839,1,2,aligned,0.487,0.0,0.618,0.717,0.2,5.44,0.502,0.574,199,2.0,4,5,4.51,ENDS_SHORT,ok,full-200ep
getting_organized_for_work,28,10,15671,23506,1.49,1.0,200,200,0.2985,3,7,aligned,3.065,0.005,0.015,0.834,0.157,6.88,0.452,0.703,200,2.0,7,10,6.94,ENDS_SHORT,ok,full-200ep
sorting_household_items,27,8,15808,23712,1.5,1.0,200,200,0.1231,1,7,aligned,0.675,0.005,0.395,0.779,0.126,7.92,0.314,0.681,199,2.0,7,8,7.33,ENDS_SHORT,ok,full-200ep
picking_up_toys,7,6,18891,28336,1.79,0.995,200,200,0.0,0,6,aligned,0.764,0.005,0.462,0.716,0.167,6.24,0.247,0.597,138,1.0,6,6,5.24,ENDS_SHORT,ok,full-200ep
loading_the_car,13,3,19226,28840,1.82,0.985,200,200,0.0,0,3,aligned,0.046,0.0,0.954,0.427,0.333,3.95,0.504,0.285,29,1.0,3,3,2.95,ENDS_SHORT,ok,full-200ep
clean_up_your_desk,29,11,21418,32127,2.03,0.93,200,200,0.086,1,9,aligned,1.032,0.022,0.398,0.839,0.097,10.14,0.173,0.758,186,3.0,10,11,9.97,ENDS_SHORT,ok,full-200ep
canning_food,48,10,22976,34463,2.18,1.0,200,200,0.5995,6,0,aligned,2.495,0.3,0.045,0.869,0.101,4.78,0.337,0.781,200,1.0,4,10,7.5,ENDS_SHORT,SUSPECT_incomplete,full-200ep
boxing_books_up_for_storage,23,6,24228,36341,2.3,0.99,200,200,0.0,0,6,aligned,1.207,0.035,0.293,0.532,0.167,5.79,0.405,0.444,154,1.0,6,6,4.79,ENDS_SHORT,ok,full-200ep
